firm_id	datadate	ROA	sic2
10001	30jun1990	.1003125	49
10010	31oct1990	.0675736	38
10011	28feb1990	.0001677	87
10016	31dec1990	.0499479	73
10016	31dec1991	.0936845	73
10016	31dec1992	.0768524	73
10019	30jun1990	.1905764	38
10020	31dec1990		
10020	31dec1991		
10025	31oct1990	.10749	30
10026	30sep1990	.1920753	20
10026	30sep2007	.1521031	20
10026	30sep2008	.1344171	20
10026	30sep2009	.1833289	20
10026	30sep2010	.1405141	20
10026	30sep2011	.1460669	20
10026	30sep2012	.1482894	20
10026	30sep2013	.1340456	20
10026	30sep2014	.1511721	20
10032	30sep1990	.0269467	36
10032	30sep1998	.2070442	36
10032	30sep1999	.0660045	36
10032	30sep2000	-.0996726	36
10032	30sep2001	.1602639	36
10032	30sep2002	.2234029	36
10032	30sep2003	-.0360778	36
10032	30sep2004	-.0391272	36
10032	30sep2005	.1365052	36
10032	30sep2006	.1036656	36
10032	30sep2007	.0420211	36
10032	30sep2008	.0646836	36
10032	30sep2009	.1665206	36
10032	30sep2010	.0015205	36
10032	30sep2011	.1239401	36
10032	30sep2012	.1118471	36
10032	30sep2013	.1434339	36
10032	30sep2014	.05496	36
10035	30sep1990	.0809856	57
10035	30sep1991	-.0904488	57
10043	31mar1990	.0857211	87
10048	31may1990	.0039034	48
10048	31may1998	.073178	48
10051	31dec2007	.0680376	80
10051	31dec2008	.0654009	80
10051	31dec2010	.0532672	80
10051	31dec2011	.0547665	80
10051	31dec2012	.0657215	80
10051	31dec2013	.0678326	80
10055	30apr1990	.1020956	79
10057	30sep1990	.0775182	35
10064	31dec1990	.0865591	39
10064	31dec1991	.0067224	39
10064	31dec1992	.02468	39
10064	31dec1993	-.0597188	39
10071	31dec1990	.1124023	62
10071	31dec1991	.0247421	62
10071	31dec1992	-.0387886	62
10071	31dec1993	.00362	62
10071	31dec1994	-.0034224	62
10071	31dec1995	-.0483959	62
10071	31dec1996	.0570434	62
10074	31oct1990	.0641719	34
10075	31dec1996	-.0398865	50
10075	31dec1997	.0668719	50
10075	31dec1998	.0658477	50
10077	31jan1990	-.021476	53
10078	30jun1990	.1677269	35
10078	30jun1991	.2312908	35
10078	30jun1992	.1900786	35
10078	30jun1993	.1214758	35
10078	30jun1994	.1227553	35
10078	30jun1995	.1798517	35
10078	30jun1996	.1810919	35
10078	30jun1997	.2352616	35
10078	30jun1998	.2672904	35
10078	30jun1999	.2989016	35
10078	30jun2000	.2652629	35
10078	30jun2001	.1149002	35
10078	30jun2003	.0798614	35
10078	30jun2004	.1534855	35
10078	30jun2005	.0260042	35
10078	30jun2006	.0424347	35
10078	30jun2007	.0604874	35
10078	30jun2008	.0926778	35
10078	30jun2009	.0406873	35
10079	31may1990	.0063338	73
10085	31dec1994	.0628394	63
10085	31dec1995	.0745	63
10085	31dec1996	.0950334	63
10085	31dec1997	.0969841	63
10085	31dec1998	.0567519	63
10085	31dec1999	-.0164737	63
10085	31dec2000	-.0074605	63
10085	31dec2001	.0577753	63
10085	31dec2002	.0713178	63
10085	31dec2003	.1360705	63
10085	31dec2004	.1039602	63
10087	30nov1990	.3827134	28
10090	30jun1990	-.3007736	48
10092	31dec1998	.1862933	67
10092	31dec1999	.3364725	67
10094	31dec1990	.004929	53
10094	31dec1991	.0623336	53
10095	31dec1990	-.008385	28
10095	31dec1991	-.0154913	28
10095	31dec1992	-.0761912	28
10095	31dec1993	-.252744	28
10100	31mar1990	.1448393	64
10104	31may1990	.0363799	73
10104	31may1991	.1042139	73
10104	31may1992	.2535863	73
10104	31may1993	.2681399	73
10104	31may1994	.2780285	73
10104	31may1995	.2345556	73
10104	31may1996	.2648474	73
10104	31may1997	.2228447	73
10104	31may1998	.2774662	73
10104	31may1999	.2489236	73
10104	31may2000	.2235691	73
10104	31may2001	.19756	73
10104	31may2002	.3002778	73
10104	31may2003	.2732285	73
10104	31may2004	.2489227	73
10104	31may2005	.171702	73
10104	31may2006	.1564298	73
10104	31may2007	.1596668	73
10104	31may2008	.1565964	73
10104	31may2009	.1740973	73
10104	31may2010	.1409757	73
10104	31may2011	.1524988	73
10104	31may2012	.1754567	73
