caldt,vwretd,vwretx,ewretd,ewretx
19910731,0.046526,0.044799,0.041944,0.040443
19910830,0.023885,0.019912,0.022633,0.018944
19910930,-0.016861,-0.019061,-0.019202,-0.021058
19911031,0.013458,0.011899,0.01079,0.009445
19911129,-0.040214,-0.043973,-0.050809,-0.05416
19911231,0.114089,0.111476,0.113619,0.111208
19920131,-0.018348,-0.019654,0.017853,0.016647
19920228,0.012865,0.009442,0.030385,0.027321
19920331,-0.01947,-0.021873,-0.020264,-0.022422
19920430,0.028614,0.027157,0.016597,0.015297
19920529,0.00485,0.001087,0.00193,-0.001292
19920630,-0.01503,-0.017545,-0.020451,-0.022667
19920731,0.040924,0.039465,0.04079,0.039542
19920831,-0.020615,-0.024214,-0.027431,-0.030637
19920930,0.01134,0.008916,0.018991,0.016985
19921030,0.004796,0.003455,0.020398,0.019325
19921130,0.033794,0.030069,0.044229,0.040785
19921231,0.01338,0.011197,0.022532,0.02062
19930129,0.007282,0.005964,0.022706,0.021733
19930226,0.013526,0.010361,0.010886,0.008018
19930331,0.021202,0.018578,0.02745,0.02506
19930430,-0.024519,-0.02578,-0.021945,-0.022986
19930528,0.026259,0.022549,0.03163,0.02838
19930630,0.003466,0.001095,0.003477,0.001367
19930730,-0.004593,-0.005909,-0.000721,-0.001789
19930831,0.037431,0.033957,0.040022,0.036714
19930930,-0.007582,-0.009842,-0.006236,-0.008034
19931029,0.019884,0.01859,0.019667,0.018666
19931130,-0.008655,-0.012084,-0.00857,-0.011803
19931231,0.012643,0.010614,0.023349,0.021611
19940131,0.033429,0.031954,0.037019,0.035801
19940228,-0.027161,-0.030121,-0.017379,-0.020103
19940331,-0.043456,-0.045728,-0.043719,-0.045656
19940429,0.012817,0.011477,0.004462,0.00341
19940531,0.016309,0.012559,0.012087,0.008621
19940630,-0.024762,-0.027113,-0.021933,-0.023789
19940729,0.032714,0.031381,0.03375,0.032604
19940831,0.041341,0.03799,0.052232,0.048938
19940930,-0.02394,-0.026238,-0.026,-0.027803
